HCPCS_Cd,underpaid_rows,total_estimated_recovery,avg_gap_pct,avg_confidence,critical_or_high_count
36475,1064,5531477.96,-8.7,0.3879,20
76937,11549,5525862.45,-49.99,0.9824,0
22214,255,5505227.46,-62.51,0.4843,99
11301,2770,5454178.85,-22.95,0.6238,46
20611,4776,5430612.84,-11.25,0.2209,1
93015,6776,5413692.71,-10.8,0.321,0
72110,7417,5401992.95,-60.8,0.8741,6
13101,2055,5347958.29,-19.96,0.4792,20
36482,571,5345393.29,-8.0,0.369,30
99487,2431,5343063.5,-10.38,0.2789,12
73718,2446,5316255.07,-55.24,0.834,6
93926,2776,5298998.91,-74.97,0.6417,2
93923,1962,5274331.49,-72.84,0.6109,20
64640,534,5256289.06,-33.95,0.2188,18
33340,1513,5158239.4,-13.36,0.4208,7
72192,5429,5130765.73,-45.57,0.9774,3
99489,1430,5123466.45,-10.39,0.4352,44
36215,325,5115988.5,-48.27,0.3955,53
98940,11284,5047454.21,-5.51,0.8125,3
96372,46033,4976223.61,-9.52,0.384,0
73200,3174,4958074.82,-55.78,0.8704,5
97597,5190,4957186.64,-12.2,0.3109,20
73552,10583,4913952.36,-63.08,0.9797,5
50360,388,4905309.51,-25.46,0.217,47
72170,13307,4881384.0,-55.48,0.983,1
31624,2268,4868322.64,-52.37,0.5381,34
11055,6312,4724375.61,-10.23,0.4589,13
93010,47887,4674482.99,-6.08,0.2422,0
14301,866,4630510.81,-20.72,0.2717,35
90961,4559,4619497.89,-6.46,0.097,0
76830,3995,4605778.97,-56.82,0.797,2
93456,469,4593277.65,-62.83,0.7322,66
94060,4936,4528282.89,-60.6,0.5803,0
93656,1903,4512375.18,-5.95,0.1951,4
99457,5014,4505728.11,-6.41,0.392,6
33405,368,4505255.77,-34.0,0.4761,72
30117,206,4468297.01,-46.31,0.4007,54
12042,1508,4416937.84,-34.16,0.6285,8
64721,2208,4397427.48,-14.11,0.3184,0
13131,787,4395880.29,-42.07,0.6688,56
99283,23484,4395760.58,-8.99,0.5,0
11402,2045,4346662.67,-47.56,0.732,17
99307,7947,4326155.51,-10.68,0.552,6
47562,1925,4267605.45,-19.33,0.3291,38
92507,1916,4266111.95,-8.4,0.4073,9
93280,3366,4238116.25,-32.54,0.457,0
88120,119,4224696.44,-78.48,0.3282,30
57288,599,4194023.31,-39.59,0.4281,38
95004,3523,4110718.16,-13.91,0.7603,10
69100,4772,4107251.19,-33.12,0.5513,0
38571,520,4107224.86,-59.05,0.4535,17
37243,278,4097234.08,-6.81,0.4269,28
76641,2352,4057839.7,-34.51,0.8561,33
43249,2945,4035547.15,-19.85,0.5802,29
75572,1255,4028224.1,-48.87,0.9258,63
15271,1442,3967762.33,-18.26,0.4381,9
99344,4934,3959569.88,-14.73,0.3611,0
22845,825,3934817.01,-35.94,0.5148,71
67028,1359,3903184.7,-6.09,0.3745,12
14060,1638,3902190.46,-9.84,0.2617,12
11642,975,3899599.63,-44.38,0.6658,19
19083,3080,3886597.1,-13.39,0.509,27
88361,534,3885357.79,-46.7,0.8615,20
45381,926,3765800.33,-90.47,0.7973,24
73720,1334,3732787.29,-56.32,0.8302,5
93320,7016,3729477.49,-49.37,0.6399,0
70543,1224,3729299.72,-54.71,0.7815,20
93978,1442,3717437.76,-64.26,0.6166,12
78830,525,3700274.19,-77.08,0.9337,85
99345,3395,3689722.06,-14.83,0.1836,0
77293,967,3664453.26,-62.07,0.7405,4
97035,4430,3642858.35,-29.45,0.6524,3
55866,566,3621262.63,-26.38,0.2252,26
36902,1280,3607467.59,-7.54,0.3812,15
58571,687,3603241.23,-28.84,0.287,41
19301,1374,3587942.28,-14.94,0.3376,22
43235,6283,3587085.45,-16.7,0.673,1
78582,911,3583303.42,-76.65,0.9828,46
99458,3627,3577872.98,-6.41,0.4575,7
73590,9690,3545648.31,-63.33,0.9855,2
78227,712,3499342.85,-84.26,0.9657,51
13151,708,3477545.89,-45.41,0.703,31
95822,468,3459461.83,-80.44,0.7951,50
G6012,737,3457951.24,-7.32,0.1277,0
17250,1537,3436607.2,-25.38,0.5537,20
37252,984,3434349.82,-7.66,0.3473,10
72040,7708,3427267.83,-56.15,0.9016,3
99221,15408,3422726.2,-8.57,0.2982,1
92136,2726,3397966.59,-17.1,0.5292,1
76856,3571,3382902.52,-50.77,0.789,1
64483,1389,3363990.23,-18.71,0.2022,0
93351,1590,3360296.16,-48.43,0.5776,4
78803,609,3341441.65,-78.39,0.9366,61
74170,1640,3340189.76,-57.5,0.7866,1
77012,3991,3324413.36,-30.41,0.9764,0
78264,864,3317122.49,-82.09,0.9591,31
99483,1717,3310805.4,-11.71,0.1254,1
74420,3690,3303457.97,-54.48,0.878,0
36561,2798,3274844.09,-9.89,0.4133,14
31628,1060,3272114.26,-56.47,0.5003,7
93976,1864,3249757.15,-62.76,0.7567,10
74181,2266,3220317.95,-50.22,0.9397,2
66991,673,3220174.12,-15.93,0.3021,15
96401,3482,3213534.23,-7.67,0.3241,1
88108,2106,3194486.27,-51.34,0.6067,6
12051,916,3190265.27,-38.42,0.6642,22
99202,14562,3170880.0,-10.14,0.6125,1
37228,390,3141568.28,-16.21,0.4272,42
95813,412,3104771.52,-70.62,0.5452,38
11720,5576,3104166.99,-6.73,0.4158,1
49650,822,3084344.67,-43.16,0.4819,21
55874,496,3069186.76,-11.9,0.2984,26
11104,5881,3067003.02,-14.95,0.6217,1
43262,582,3054702.7,-80.58,0.7707,15
88365,1146,3043128.89,-64.72,0.6988,10
